ID,material,sp_group_symbol,sp_group_number,nelements,z_max,a,b,c,alpha,beta,gamma,Nsites,hform,magnetization,stability-class,magnetic-class
mp-974925,NdY3,I4/mmm,139,2,60,5.14499136,5.14499136,10.1943369,90.0,90.0,90.0,8,22.8869731249998,7.411424932095753e-10,0,0
mp-23011,RbClO3,R3m,160,3,37,6.15017412,6.15017412,8.75927577,90.0,90.0,120.0,15,-1145.0334247500004,2.870053251631444e-06,1,0
mp-1215564,ZnCuAu2,P2/m,10,3,79,4.621221,2.964076,9.1306938,90.0,91.73869453,90.0,8,-131.47108000000028,3.103715250460099e-07,1,0
mp-1101251,Tl2Pt,I4/mcm,140,2,81,7.3669,7.3669,5.64684,90.0,90.0,90.0,12,11.6698777777782,3.864114839640967e-06,0,0
mp-1123,HgS,F-43m,216,2,80,5.93932507,5.93932507,5.93932507,90.0,90.0,90.0,8,-379.0096890624999,1.909188040065625e-09,1,0
mp-865022,MnIr3,P6_3/mmc,194,2,77,5.47078553,5.47078553,4.32908318,90.0,90.0,120.0,8,-164.18418823275792,0.0450759425648058,1,1
mp-30604,DyGa,Cmcm,63,2,66,4.32418337,10.81473572,4.04087052,90.0,90.0,90.0,8,-628.7857412500007,0.0049355586715115,1,0
mp-1216959,TiCr,Cmmm,65,2,24,3.069588,4.49626575,4.03823874,90.0,90.0,90.0,4,143.3808883333327,8.263823330104388e-05,0,0
mp-1094295,SrMg5,R32,155,2,38,5.79056225,5.79056225,17.26533628,90.0,90.0,120.0,18,70.0593338888889,9.066591745440586e-06,0,0
mp-1187359,TbOsO3,Pm-3m,221,3,76,3.963612,3.963612,3.963612,90.0,90.0,90.0,5,-1881.64873725,0.0002768799877379,1,0
mp-1101127,Ti2CdO6,P1,1,3,48,5.73441018,6.1647932,7.06144818,87.95825248,85.05862463,89.417399,18,-2103.822952685184,3.461006120251477e-06,1,0
mp-11571,YSn3,Pm-3m,221,2,50,4.70032975,4.70032975,4.70032975,90.0,90.0,90.0,4,-433.8189304166668,4.814875079738295e-09,1,0
mp-2229060,Mg(WO3)4,P1,1,3,74,5.24229214,5.49513536,7.610068630000001,89.42457262,89.82095187,89.96408312999999,17,-2240.4377191176472,0.0091239977466044,1,1
mp-4364,NbGaCo2,Fm-3m,225,3,41,5.93940456,5.93940456,5.93940456,90.0,90.0,90.0,16,-323.16553687500084,0.0381916300244821,1,1
mp-1228340,Ba2NF,Fm-3m,225,3,56,6.911508,6.911508,6.911508,90.0,90.0,90.0,16,-1606.748504375,4.240426994253158e-08,1,0
mp-1215365,Zr5AlNi4,P-4n2,118,3,40,7.240267,7.240267,6.612551,90.0,90.0,90.0,20,-422.3273664999993,1.371308915700415e-05,1,0
mp-1455,MnS2,Pa-3,205,2,25,5.523154,5.523154,5.523154,90.0,90.0,90.0,12,-778.8864638936784,0.0238357913474447,1,1
mp-1187610,TmMg3,Fm-3m,225,2,69,7.24064436,7.24064436,7.24064436,90.0,90.0,90.0,16,-44.7867391666667,4.214910261337515e-09,1,0
mp-10351,Tm3GaC,Pm-3m,221,3,69,5.225463,5.225463,5.225463,90.0,90.0,90.0,5,1189.176031000001,7.527139250191674e-06,0,0
mp-1183266,AcPr3,P6_3/mmc,194,2,89,7.70818978,7.70818978,6.07214085,90.0,90.0,120.0,8,45.2627781250001,3.8278459346428923e-07,0,0
mp-481,ScPt3,Pm-3m,221,2,78,3.98423648,3.98423648,3.98423648,90.0,90.0,90.0,4,-1039.9664712499996,2.403301542360972e-07,1,0
mp-1096618,Ta2VIr,Immm,71,3,77,8.937368,10.914116,15.23307,90.0,90.0,90.0,8,4172.72548,0.0022602590088632,0,0
mp-1120762,Cd2S,P3m1,156,2,48,3.96267005,3.96267005,5.809192,90.0,90.0,120.0,3,-366.804444375,1.4810293702229775e-06,1,0
mp-31142,YbBiAu,F-43m,216,3,83,7.08813,7.08813,7.08813,90.0,90.0,90.0,12,-301.9908966666668,6.660696762942145e-07,1,0
mp-213,CaPd,Pm-3m,221,2,46,3.50568548,3.50568548,3.50568548,90.0,90.0,90.0,2,-675.1028799999995,4.642064238675406e-09,1,0
mp-10181,LiSiNi2,Fm-3m,225,3,28,5.48431615,5.48431615,5.48431615,90.0,90.0,90.0,16,-487.0650333333328,2.982618153194825e-07,1,0
mp-1215955,YAlCo4,P-6m2,187,3,39,5.04585868,5.045858680000001,3.871326,90.0,90.0,120.0,6,-251.0651194444442,0.0521658925421619,1,1
mp-1206208,LaBrO2,P2_1/m,11,3,57,5.256681,4.483665,6.88140903,90.0,106.59652028,90.0,8,-2353.814524375,1.6727522204229433e-08,1,0
MMD-1531,CuNi3,Cmmm,65,2,29,2.7904249,3.97430899,7.93488587,90.0,90.0,90.0,8,96.4,0.033,0,1
mp-865728,Ti2ReNi,Fm-3m,225,3,75,6.11162958,6.11162958,6.11162958,90.0,90.0,90.0,16,-427.7604179166658,0.0140662268956996,1,1
mp-1219900,Pr2UP3,Immm,71,3,92,4.12277846,5.874212,12.50533644,90.0,90.0,90.0,12,-1319.3972883333345,0.0168923818096889,1,1
mp-454,NaGa4,I4/mmm,139,2,31,4.19325671,4.19325671,11.12723439,90.0,90.0,90.0,10,-142.6072033103445,1.206207060747147e-07,1,0
mp-1246735,Sr2CoN2,I4/mmm,139,3,38,3.83286069,3.83286069,12.66462447,90.0,90.0,90.0,10,-640.261317666667,0.0322072399213805,1,1
mp-1180746,KMnF3,I4/mcm,140,3,25,5.908578,5.908578,8.366264,90.0,90.0,90.0,20,-3019.6071406862084,0.068475065181774,1,1
mp-2288,PuSe,Fm-3m,225,2,94,5.88498655,5.88498655,5.88498655,90.0,90.0,90.0,8,-1796.4505611718753,0.114211057178344,1,1
mp-753167,Fe2O3F,Pmn2_1,31,3,26,4.68685501,2.999821,9.40899204,90.0,90.00843297,90.0,12,-1658.6867481249997,0.1360700804764354,1,1
mp-865092,MgGaNi2,Fm-3m,225,3,31,5.8462202,5.8462202,5.8462202,90.0,90.0,90.0,16,-335.9793743750003,2.3221617809299853e-07,1,0
